date,rbi_repo_rate_pct,cpi_inflation_pct,gdp_growth_rate_pct,unemployment_rate_pct,usd_inr_exchange,nifty_50_index
2023-05-18,6.49,5.37,7.28,7.66,82.74,15491
2023-05-19,6.48,5.36,7.25,7.67,82.72,15379
2023-05-20,6.5,5.39,7.25,7.7,82.73,15426
2023-05-21,6.51,5.35,7.23,7.68,82.78,15366
2023-05-22,6.5,5.32,7.27,7.64,82.86,15312
2023-05-23,6.52,5.33,7.22,7.64,82.95,15403
2023-05-24,6.51,5.32,7.19,7.63,82.93,15369
2023-05-25,6.51,5.31,7.16,7.62,82.98,15344
2023-05-26,6.5,5.31,7.17,7.64,83.0,15334
2023-05-27,6.49,5.32,7.2,7.64,82.95,15329
2023-05-28,6.49,5.3,7.22,7.64,82.85,15394
2023-05-29,6.5,5.29,7.18,7.66,82.86,15307
2023-05-30,6.53,5.29,7.17,7.68,82.78,15302
2023-05-31,6.52,5.29,7.15,7.67,82.74,15405
2023-06-01,6.49,5.3,7.16,7.69,82.71,15585
2023-06-02,6.5,5.29,7.15,7.66,82.72,15487
2023-06-03,6.5,5.3,7.11,7.68,82.78,15523
2023-06-04,6.51,5.31,7.12,7.68,82.78,15518
2023-06-05,6.51,5.32,7.16,7.65,82.76,15520
2023-06-06,6.51,5.31,7.16,7.64,82.65,15467
2023-06-07,6.5,5.31,7.16,7.67,82.67,15538
2023-06-08,6.5,5.3,7.12,7.65,82.68,15604
2023-06-09,6.5,5.28,7.05,7.66,82.65,15816
2023-06-10,6.51,5.27,7.0,7.68,82.71,15720
2023-06-11,6.51,5.28,7.0,7.68,82.65,15590
2023-06-12,6.53,5.26,6.99,7.66,82.61,15765
2023-06-13,6.51,5.26,7.0,7.66,82.6,15770
2023-06-14,6.49,5.26,7.0,7.63,82.57,15744
2023-06-15,6.5,5.29,7.03,7.62,82.6,15769
2023-06-16,6.5,5.31,7.05,7.6,82.62,15667
2023-06-17,6.5,5.32,7.04,7.6,82.68,15707
2023-06-18,6.49,5.34,7.01,7.57,82.7,15711
2023-06-19,6.47,5.33,6.96,7.57,82.7,15807
2023-06-20,6.48,5.36,7.0,7.6,82.68,15885
2023-06-21,6.48,5.36,6.97,7.62,82.7,15971
2023-06-22,6.47,5.36,6.93,7.59,82.69,15996
2023-06-23,6.48,5.34,6.93,7.58,82.69,16134
2023-06-24,6.49,5.33,6.89,7.6,82.72,16190
2023-06-25,6.49,5.29,6.89,7.61,82.73,16158
2023-06-26,6.5,5.29,6.88,7.6,82.74,16103
2023-06-27,6.49,5.28,6.91,7.59,82.7,16057
2023-06-28,6.49,5.27,6.93,7.59,82.77,16114
2023-06-29,6.5,5.24,6.97,7.56,82.71,16018
2023-06-30,6.49,5.25,6.97,7.57,82.74,16040
2023-07-01,6.51,5.27,6.95,7.59,82.71,15984
2023-07-02,6.51,5.3,6.91,7.58,82.77,15893
2023-07-03,6.5,5.33,6.9,7.55,82.81,15816
2023-07-04,6.51,5.34,6.96,7.58,82.81,15824
2023-07-05,6.5,5.36,6.95,7.58,82.89,15895
2023-07-06,6.48,5.36,6.96,7.6,82.88,15851
2023-07-07,6.48,5.35,7.0,7.57,82.92,15695
2023-07-08,6.48,5.35,7.01,7.55,82.89,15957
2023-07-09,6.47,5.36,6.99,7.55,82.91,16057
2023-07-10,6.48,5.44,7.01,7.57,82.86,16141
2023-07-11,6.47,5.47,7.0,7.55,82.86,16282
2023-07-12,6.46,5.47,7.0,7.55,82.86,16299
2023-07-13,6.45,5.48,7.02,7.52,82.9,16298
2023-07-14,6.44,5.49,7.01,7.5,82.87,16417
2023-07-15,6.45,5.49,7.01,7.5,83.02,16535
2023-07-16,6.45,5.5,7.06,7.51,82.95,16594
2023-07-17,6.46,5.5,7.04,7.47,82.97,16675
2023-07-18,6.47,5.48,7.08,7.49,82.98,16585
2023-07-19,6.47,5.49,7.06,7.49,83.01,16575
2023-07-20,6.48,5.5,7.12,7.52,82.98,16721
2023-07-21,6.47,5.5,7.09,7.53,82.99,16795
2023-07-22,6.46,5.5,7.08,7.55,82.96,16689
2023-07-23,6.47,5.52,7.12,7.59,83.06,16656
2023-07-24,6.47,5.52,7.17,7.57,83.03,16789
2023-07-25,6.47,5.51,7.19,7.57,83.02,16836
2023-07-26,6.48,5.5,7.16,7.55,82.99,16860
2023-07-27,6.48,5.49,7.16,7.55,82.95,16887
2023-07-28,6.48,5.53,7.16,7.57,82.88,16891
2023-07-29,6.5,5.52,7.14,7.59,82.91,16859
2023-07-30,6.5,5.53,7.16,7.58,82.88,16802
2023-07-31,6.51,5.52,7.14,7.56,82.84,16893
2023-08-01,6.49,5.51,7.1,7.56,82.79,16922
2023-08-02,6.53,5.5,7.05,7.54,82.8,16988
2023-08-03,6.51,5.5,7.1,7.53,82.8,17042
2023-08-04,6.51,5.49,7.09,7.54,82.81,17165
2023-08-05,6.5,5.51,7.07,7.55,82.77,17211
2023-08-06,6.52,5.51,7.04,7.57,82.79,17287
2023-08-07,6.52,5.51,7.08,7.56,82.76,17310
2023-08-08,6.52,5.51,7.04,7.58,82.76,17245
2023-08-09,6.52,5.51,7.0,7.58,82.75,17237
2023-08-10,6.51,5.54,6.99,7.58,82.67,17294
2023-08-11,6.51,5.52,6.99,7.56,82.77,17358
2023-08-12,6.5,5.53,7.01,7.51,82.8,17484
2023-08-13,6.51,5.5,6.99,7.48,82.81,17457
2023-08-14,6.51,5.52,7.04,7.49,82.82,17485
2023-08-15,6.53,5.52,7.02,7.47,82.93,17485
2023-08-16,6.52,5.49,6.99,7.44,82.98,17625
2023-08-17,6.52,5.46,6.96,7.43,83.0,17665
2023-08-18,6.52,5.48,6.93,7.43,82.97,17707
2023-08-19,6.52,5.45,6.9,7.44,82.94,17714
2023-08-20,6.54,5.45,6.92,7.44,82.85,17706
2023-08-21,6.54,5.44,6.89,7.44,82.83,17600
2023-08-22,6.51,5.44,6.89,7.43,82.86,17509
2023-08-23,6.51,5.43,6.85,7.44,82.89,17533
2023-08-24,6.51,5.41,6.82,7.44,82.93,17548
2023-08-25,6.51,5.4,6.85,7.44,82.9,17572
2023-08-26,6.5,5.41,6.9,7.46,82.93,17658
2023-08-27,6.49,5.4,6.94,7.47,82.97,17675
2023-08-28,6.51,5.41,6.89,7.47,82.86,17657
2023-08-29,6.51,5.41,6.85,7.46,82.87,17651
2023-08-30,6.51,5.42,6.91,7.46,82.98,17680
2023-08-31,6.53,5.43,6.91,7.42,82.96,17660
2023-09-01,6.52,5.42,6.87,7.44,82.84,17755
2023-09-02,6.53,5.4,6.9,7.42,82.79,17764
2023-09-03,6.52,5.42,6.9,7.44,82.7,17794
2023-09-04,6.52,5.4,6.92,7.44,82.67,17739
2023-09-05,6.51,5.41,6.85,7.47,82.61,17834
2023-09-06,6.52,5.41,6.84,7.48,82.66,17959
2023-09-07,6.54,5.4,6.87,7.5,82.7,17860
2023-09-08,6.54,5.41,6.85,7.49,82.71,17902
2023-09-09,6.52,5.44,6.89,7.46,82.78,17903
2023-09-10,6.52,5.45,6.85,7.46,82.75,17936
2023-09-11,6.52,5.45,6.84,7.43,82.75,17982
2023-09-12,6.53,5.49,6.89,7.42,82.86,17813
2023-09-13,6.55,5.45,6.86,7.39,82.89,17884
2023-09-14,6.56,5.43,6.87,7.38,82.92,17983
2023-09-15,6.56,5.42,6.88,7.39,82.88,18091
2023-09-16,6.55,5.45,6.89,7.4,82.86,18026
2023-09-17,6.54,5.47,6.88,7.4,82.81,18033
2023-09-18,6.54,5.43,6.85,7.4,82.89,18000
2023-09-19,6.54,5.42,6.86,7.39,82.82,17857
2023-09-20,6.53,5.4,6.86,7.44,82.86,17817
2023-09-21,6.52,5.4,6.81,7.45,82.89,17740
2023-09-22,6.52,5.42,6.85,7.43,82.81,17777
2023-09-23,6.52,5.43,6.82,7.45,82.87,17657
2023-09-24,6.52,5.44,6.78,7.48,82.85,17588
2023-09-25,6.51,5.43,6.76,7.46,82.79,17557
2023-09-26,6.52,5.43,6.73,7.43,82.81,17628
2023-09-27,6.51,5.44,6.72,7.41,82.77,17861
2023-09-28,6.49,5.49,6.69,7.39,82.75,17895
2023-09-29,6.5,5.47,6.7,7.39,82.73,17822
2023-09-30,6.49,5.5,6.74,7.36,82.69,17778
2023-10-01,6.49,5.5,6.74,7.35,82.63,17841
2023-10-02,6.48,5.52,6.7,7.35,82.67,17743
2023-10-03,6.49,5.52,6.67,7.35,82.68,17841
2023-10-04,6.49,5.55,6.68,7.37,82.7,17873
2023-10-05,6.5,5.56,6.62,7.37,82.68,17873
2023-10-06,6.49,5.55,6.58,7.41,82.68,17748
2023-10-07,6.49,5.55,6.53,7.43,82.64,17831
2023-10-08,6.49,5.58,6.54,7.44,82.61,17780
2023-10-09,6.51,5.58,6.6,7.42,82.69,17803
2023-10-10,6.51,5.54,6.57,7.4,82.73,17800
2023-10-11,6.5,5.53,6.59,7.38,82.71,17683
2023-10-12,6.51,5.53,6.57,7.38,82.63,17675
2023-10-13,6.5,5.53,6.53,7.39,82.55,17588
2023-10-14,6.48,5.52,6.58,7.4,82.52,17546
2023-10-15,6.47,5.55,6.64,7.41,82.52,17591
2023-10-16,6.47,5.5,6.66,7.43,82.53,17657
2023-10-17,6.47,5.5,6.67,7.45,82.53,17665
2023-10-18,6.46,5.51,6.67,7.43,82.55,17605
2023-10-19,6.47,5.55,6.67,7.42,82.5,17563
2023-10-20,6.46,5.55,6.68,7.42,82.57,17520
2023-10-21,6.45,5.56,6.7,7.41,82.56,17359
2023-10-22,6.44,5.56,6.75,7.4,82.58,17375
2023-10-23,6.43,5.56,6.73,7.41,82.55,17251
2023-10-24,6.43,5.6,6.73,7.4,82.56,17267
2023-10-25,6.43,5.57,6.73,7.4,82.67,17161
2023-10-26,6.4,5.56,6.76,7.39,82.62,17074
2023-10-27,6.38,5.58,6.83,7.4,82.56,17138
2023-10-28,6.38,5.58,6.87,7.4,82.52,17150
2023-10-29,6.37,5.58,6.89,7.39,82.5,17009
2023-10-30,6.35,5.57,6.92,7.36,82.47,16974
2023-10-31,6.35,5.59,6.96,7.39,82.42,17005
2023-11-01,6.37,5.6,7.03,7.42,82.42,16966
2023-11-02,6.37,5.59,6.98,7.43,82.5,16948
2023-11-03,6.37,5.59,7.0,7.42,82.49,16978
2023-11-04,6.37,5.59,6.92,7.44,82.49,16991
2023-11-05,6.35,5.6,6.95,7.45,82.5,16922
2023-11-06,6.36,5.6,6.96,7.45,82.54,16934
2023-11-07,6.37,5.57,6.95,7.47,82.6,16921
2023-11-08,6.39,5.58,6.87,7.45,82.62,17069
2023-11-09,6.39,5.6,6.87,7.44,82.62,17070
2023-11-10,6.38,5.62,6.87,7.44,82.57,17091
2023-11-11,6.39,5.6,6.87,7.45,82.6,17122
2023-11-12,6.39,5.6,6.85,7.46,82.56,17106
2023-11-13,6.4,5.59,6.82,7.48,82.52,17058
2023-11-14,6.4,5.58,6.82,7.45,82.53,17105
2023-11-15,6.4,5.55,6.8,7.45,82.6,17153
2023-11-16,6.39,5.53,6.82,7.49,82.64,17329
2023-11-17,6.39,5.54,6.82,7.48,82.64,17399
2023-11-18,6.38,5.53,6.77,7.46,82.59,17469
2023-11-19,6.41,5.51,6.77,7.42,82.67,17537
2023-11-20,6.41,5.54,6.79,7.42,82.66,17492
2023-11-21,6.39,5.59,6.84,7.43,82.65,17401
2023-11-22,6.39,5.59,6.86,7.44,82.68,17331
2023-11-23,6.4,5.56,6.84,7.42,82.65,17396
2023-11-24,6.39,5.56,6.88,7.42,82.62,17519
2023-11-25,6.38,5.52,6.84,7.43,82.58,17588
2023-11-26,6.39,5.49,6.84,7.43,82.55,17585
2023-11-27,6.38,5.5,6.86,7.41,82.49,17729
2023-11-28,6.38,5.47,6.91,7.41,82.43,17703
2023-11-29,6.37,5.47,6.96,7.39,82.48,17622
2023-11-30,6.37,5.44,7.0,7.35,82.51,17652
2023-12-01,6.38,5.44,7.0,7.37,82.47,17765
2023-12-02,6.38,5.46,7.01,7.37,82.52,17708
2023-12-03,6.38,5.45,7.02,7.38,82.53,17581
2023-12-04,6.38,5.45,7.0,7.37,82.52,17594
2023-12-05,6.38,5.43,7.0,7.38,82.45,17666
2023-12-06,6.37,5.42,7.05,7.4,82.47,17439
2023-12-07,6.36,5.4,7.07,7.44,82.57,17527
2023-12-08,6.36,5.42,7.13,7.46,82.57,17428
2023-12-09,6.38,5.39,7.1,7.46,82.62,17496
2023-12-10,6.39,5.38,7.09,7.44,82.61,17346
2023-12-11,6.39,5.39,7.1,7.43,82.65,17238
2023-12-12,6.38,5.41,7.12,7.41,82.64,17297
2023-12-13,6.39,5.42,7.12,7.39,82.52,17405
2023-12-14,6.39,5.42,7.14,7.43,82.49,17414
2023-12-15,6.4,5.41,7.17,7.41,82.49,17616
2023-12-16,6.41,5.42,7.12,7.36,82.55,17544
2023-12-17,6.42,5.41,7.15,7.38,82.54,17471
2023-12-18,6.41,5.39,7.18,7.36,82.54,17457
2023-12-19,6.4,5.42,7.19,7.38,82.51,17439
2023-12-20,6.4,5.42,7.13,7.36,82.59,17472
2023-12-21,6.39,5.43,7.12,7.35,82.67,17422
2023-12-22,6.38,5.44,7.14,7.37,82.63,17478
2023-12-23,6.39,5.44,7.11,7.34,82.56,17531
2023-12-24,6.38,5.41,7.14,7.34,82.47,17670
2023-12-25,6.38,5.42,7.16,7.35,82.5,17641
2023-12-26,6.37,5.42,7.16,7.33,82.5,17678
2023-12-27,6.37,5.4,7.17,7.34,82.46,17736
2023-12-28,6.38,5.38,7.17,7.34,82.48,17746
2023-12-29,6.39,5.38,7.17,7.35,82.42,17739
2023-12-30,6.4,5.35,7.13,7.39,82.46,17584
2023-12-31,6.4,5.35,7.12,7.44,82.44,17600
2024-01-01,6.41,5.34,7.12,7.45,82.38,17658
