transaction_id,customer_id,transaction_date,amount_inr,transaction_type,channel,merchant_code,balance_after_inr,is_flagged
TXN0000084,CUST00312,2023-10-22,54257,emi_payment,mobile_app,MCC3170,474663,0
TXN0000085,CUST00112,2023-11-30,414845,atm_withdrawal,mobile_app,MCC4986,758554,0
TXN0000086,CUST00552,2023-11-04,492335,transfer,atm,MCC4239,1571026,0
TXN0000087,CUST00513,2023-08-26,250130,credit,mobile_app,MCC4544,1992734,0
TXN0000088,CUST00829,2023-01-19,249887,credit,internet_banking,MCC4221,1745576,0
TXN0000089,CUST00749,2023-05-03,424201,transfer,atm,MCC4081,407621,0
TXN0000090,CUST00724,2023-06-06,171251,emi_payment,mobile_app,MCC7157,1003093,0
TXN0000091,CUST00539,2023-09-18,203333,debit,atm,MCC4713,1056384,0
TXN0000092,CUST00863,2023-11-06,446821,transfer,mobile_app,MCC2684,584921,0
TXN0000093,CUST00984,2023-08-22,189738,transfer,mobile_app,MCC4409,870136,0
TXN0000094,CUST00815,2023-05-13,463709,credit,mobile_app,MCC9807,761106,0
TXN0000095,CUST00348,2023-10-15,80786,credit,pos,MCC9889,139165,0
TXN0000096,CUST00277,2023-09-11,248452,atm_withdrawal,mobile_app,MCC1556,832502,0
TXN0000097,CUST00002,2023-10-19,244923,transfer,mobile_app,MCC6181,728318,0
TXN0000098,CUST00993,2023-08-04,153427,transfer,pos,MCC9762,611830,0
TXN0000099,CUST00733,2023-08-25,481517,debit,atm,MCC2744,1227537,0
TXN0000100,CUST00937,2023-05-07,241368,credit,branch,MCC1618,1424377,0
TXN0000101,CUST00788,2023-05-26,439523,credit,mobile_app,MCC2907,93882,0
TXN0000102,CUST00431,2023-04-11,109719,credit,internet_banking,MCC3857,684348,0
TXN0000103,CUST00146,2023-04-04,174542,atm_withdrawal,branch,MCC9411,61730,0
TXN0000104,CUST00048,2023-08-27,239171,transfer,branch,MCC3255,1642434,0
TXN0000105,CUST00793,2023-05-21,282038,atm_withdrawal,branch,MCC3987,1854411,0
TXN0000106,CUST00304,2023-02-18,114792,transfer,mobile_app,MCC3336,927382,0
TXN0000107,CUST00380,2023-01-13,156621,emi_payment,pos,MCC4523,1890028,0
TXN0000108,CUST00837,2023-11-10,311139,debit,atm,MCC9951,1257920,0
TXN0000109,CUST00482,2023-06-08,139321,atm_withdrawal,internet_banking,MCC1754,1738065,0
TXN0000110,CUST00951,2023-07-30,379968,emi_payment,pos,MCC5124,1895904,0
TXN0000111,CUST00547,2023-11-27,238612,debit,internet_banking,MCC6524,1174071,1
TXN0000112,CUST00832,2023-02-10,484716,emi_payment,mobile_app,MCC2075,892107,0
TXN0000113,CUST00126,2023-12-09,118926,transfer,pos,MCC1399,1483901,0
TXN0000114,CUST00397,2023-09-14,421300,debit,mobile_app,MCC9839,340692,0
TXN0000115,CUST00184,2023-08-22,245142,atm_withdrawal,mobile_app,MCC3422,593322,0
TXN0000116,CUST00057,2023-06-07,43158,transfer,atm,MCC3183,1099844,0
TXN0000117,CUST00992,2023-09-15,352609,emi_payment,internet_banking,MCC4137,402687,0
TXN0000118,CUST00518,2023-03-16,105840,transfer,mobile_app,MCC1652,993351,0
TXN0000119,CUST00354,2023-04-21,69346,debit,mobile_app,MCC2322,1711757,0
TXN0000120,CUST00377,2023-12-17,265892,credit,mobile_app,MCC1217,1565166,0
TXN0000121,CUST00241,2023-04-11,392959,emi_payment,pos,MCC5813,1782569,0
TXN0000122,CUST00123,2023-09-20,128869,credit,atm,MCC5168,1720398,0
TXN0000123,CUST00914,2023-12-06,311559,atm_withdrawal,pos,MCC3466,664745,0
TXN0000124,CUST00106,2023-08-05,7281,credit,atm,MCC9264,1425239,0
TXN0000125,CUST00385,2023-04-19,92385,transfer,branch,MCC3747,744050,0
TXN0000126,CUST00154,2023-11-06,377419,transfer,internet_banking,MCC1152,1942909,0
TXN0000127,CUST00930,2023-10-29,6539,debit,pos,MCC1896,353514,0
TXN0000128,CUST00206,2023-07-18,178950,atm_withdrawal,pos,MCC7525,538389,0
TXN0000129,CUST00394,2023-02-11,253972,debit,branch,MCC5798,1883166,0
TXN0000130,CUST00754,2023-06-11,33143,transfer,mobile_app,MCC3343,478391,0
TXN0000131,CUST00571,2023-06-07,489280,atm_withdrawal,atm,MCC3226,1238873,0
TXN0000132,CUST00382,2023-03-11,254467,atm_withdrawal,internet_banking,MCC2971,582573,0
TXN0000133,CUST00564,2023-05-27,169357,credit,internet_banking,MCC4796,568964,0
TXN0000134,CUST00437,2023-02-25,488606,credit,atm,MCC7333,1341814,0
TXN0000135,CUST00290,2023-09-10,279304,transfer,pos,MCC6742,1589722,0
TXN0000136,CUST00599,2023-06-07,339301,emi_payment,atm,MCC7730,465082,0
TXN0000137,CUST00366,2023-09-24,45259,credit,mobile_app,MCC1371,1965752,0
TXN0000138,CUST00961,2023-06-16,79467,transfer,atm,MCC6030,176834,0
TXN0000139,CUST00464,2023-09-18,22699,atm_withdrawal,pos,MCC7879,200113,0
TXN0000140,CUST00757,2023-09-25,257196,emi_payment,atm,MCC2820,1955444,0
TXN0000141,CUST00235,2023-02-28,418194,atm_withdrawal,internet_banking,MCC6244,110848,1
TXN0000142,CUST00646,2023-06-11,450871,atm_withdrawal,atm,MCC1056,629221,0
TXN0000143,CUST00560,2023-10-01,287210,atm_withdrawal,internet_banking,MCC9187,242305,0
TXN0000144,CUST00744,2023-08-05,27216,transfer,pos,MCC7634,444789,0
TXN0000145,CUST00462,2023-03-22,313119,atm_withdrawal,pos,MCC6606,148002,0
TXN0000146,CUST00720,2023-10-31,318982,transfer,branch,MCC6395,717498,0
TXN0000147,CUST00059,2023-03-14,298589,emi_payment,mobile_app,MCC7029,591326,0
TXN0000148,CUST00691,2023-12-29,360664,atm_withdrawal,branch,MCC4802,316850,0
TXN0000149,CUST00754,2023-09-16,278645,debit,mobile_app,MCC9701,1437358,0
TXN0000150,CUST00497,2023-04-28,352035,atm_withdrawal,atm,MCC2922,71535,0
TXN0000151,CUST00035,2023-03-13,243231,atm_withdrawal,atm,MCC8294,948578,0
TXN0000152,CUST00567,2023-11-26,75170,atm_withdrawal,internet_banking,MCC7856,610767,0
TXN0000153,CUST00782,2023-07-11,40065,emi_payment,pos,MCC8537,1300519,0
TXN0000154,CUST00462,2023-10-22,453648,debit,atm,MCC1637,675725,0
TXN0000155,CUST00095,2023-10-31,220546,credit,pos,MCC5005,945357,0
TXN0000156,CUST00395,2023-01-25,161203,debit,internet_banking,MCC6783,1622032,0
TXN0000157,CUST00995,2023-09-07,146687,emi_payment,mobile_app,MCC6569,288816,0
TXN0000158,CUST00271,2023-05-02,25965,transfer,branch,MCC7194,871273,0
TXN0000159,CUST00530,2023-11-28,472558,transfer,internet_banking,MCC6707,1124306,0
TXN0000160,CUST00356,2023-03-21,41702,emi_payment,atm,MCC3009,1473504,0
TXN0000161,CUST00713,2023-01-13,109583,atm_withdrawal,branch,MCC8450,1073154,0
TXN0000162,CUST00429,2023-08-31,228842,debit,atm,MCC5349,1471425,0
TXN0000163,CUST00385,2023-07-21,179119,atm_withdrawal,mobile_app,MCC9735,1591735,0
TXN0000164,CUST00580,2023-07-22,20087,credit,mobile_app,MCC5681,1577984,0
TXN0000165,CUST00572,2023-04-07,164642,emi_payment,pos,MCC5837,1230891,0
TXN0000166,CUST00500,2023-06-30,389798,transfer,branch,MCC6320,1837017,0
TXN0000167,CUST00259,2023-12-18,125363,transfer,mobile_app,MCC8838,45377,0
TXN0000168,CUST00108,2023-10-06,432925,credit,pos,MCC9109,997262,0
TXN0000169,CUST00691,2023-12-26,180158,debit,mobile_app,MCC6261,1604102,0
TXN0000170,CUST00340,2023-05-02,6785,emi_payment,pos,MCC5917,207906,1
TXN0000171,CUST00613,2023-11-14,54538,credit,internet_banking,MCC1490,1636393,0
TXN0000172,CUST00377,2023-05-20,405025,credit,branch,MCC1605,77325,0
TXN0000173,CUST00854,2023-12-08,202833,debit,internet_banking,MCC7627,1573054,0
TXN0000174,CUST00707,2023-11-12,490605,atm_withdrawal,mobile_app,MCC4104,373819,0
TXN0000175,CUST00404,2023-03-02,394447,credit,branch,MCC4930,1335042,0
TXN0000176,CUST00333,2023-12-21,15281,credit,internet_banking,MCC6654,1658423,0
TXN0000177,CUST00750,2023-08-10,156311,credit,branch,MCC2996,1628401,0
TXN0000178,CUST00008,2023-10-11,362511,transfer,branch,MCC3997,1148698,0
TXN0000179,CUST00058,2023-07-31,31642,transfer,atm,MCC1386,1816824,0
TXN0000180,CUST00085,2023-03-21,499547,transfer,mobile_app,MCC7910,280236,0
TXN0000181,CUST00346,2023-12-26,83227,credit,internet_banking,MCC5576,472965,0
TXN0000182,CUST00497,2023-02-11,398579,credit,pos,MCC2708,265272,0
TXN0000183,CUST00293,2023-10-23,420260,atm_withdrawal,pos,MCC6364,1438788,0
TXN0000184,CUST00189,2023-03-18,252727,transfer,branch,MCC2286,1783005,0
TXN0000185,CUST00313,2023-10-14,401815,atm_withdrawal,internet_banking,MCC8025,1860840,0
TXN0000186,CUST00495,2023-06-04,442423,atm_withdrawal,branch,MCC3079,1040060,0
TXN0000187,CUST00298,2023-03-28,367210,emi_payment,atm,MCC3432,264092,0
TXN0000188,CUST00575,2023-03-28,353995,transfer,internet_banking,MCC8883,343795,0
TXN0000189,CUST00383,2023-04-27,194374,atm_withdrawal,pos,MCC7686,1252658,0
TXN0000190,CUST00934,2023-11-25,146296,debit,mobile_app,MCC7127,1793495,0
TXN0000191,CUST00993,2023-10-08,433873,transfer,atm,MCC6415,1975973,0
TXN0000192,CUST00656,2023-09-02,112237,emi_payment,branch,MCC5679,1441454,0
TXN0000193,CUST00555,2023-08-18,207321,debit,branch,MCC2727,1761659,0
TXN0000194,CUST00032,2023-06-02,256320,debit,branch,MCC3702,955537,0
TXN0000195,CUST00623,2023-11-26,195420,debit,mobile_app,MCC9663,392192,0
TXN0000196,CUST00381,2023-04-10,186557,transfer,internet_banking,MCC9266,930130,0
TXN0000197,CUST00290,2023-12-11,299638,transfer,internet_banking,MCC7536,198843,0
TXN0000198,CUST00794,2023-05-19,164801,transfer,atm,MCC8998,1345303,0
TXN0000199,CUST00043,2023-05-05,494383,debit,branch,MCC8236,658920,0
TXN0000200,CUST00261,2023-06-23,89044,transfer,branch,MCC4594,676618,0
TXN0000201,CUST00775,2023-10-01,194558,atm_withdrawal,branch,MCC7438,6021,0
TXN0000202,CUST00925,2023-09-18,422658,debit,branch,MCC7773,1999820,1
TXN0000203,CUST00515,2023-10-07,237810,emi_payment,mobile_app,MCC2245,854782,0
TXN0000204,CUST00530,2023-02-02,352536,credit,pos,MCC9221,1569109,0
TXN0000205,CUST00968,2023-02-28,323515,debit,pos,MCC5436,1039153,0
TXN0000206,CUST00093,2023-11-06,165727,debit,internet_banking,MCC3819,1281919,0
TXN0000207,CUST00481,2023-12-25,372096,debit,atm,MCC5266,935846,0
TXN0000208,CUST00242,2023-02-16,118909,transfer,internet_banking,MCC3958,1374904,0
TXN0000209,CUST00477,2023-11-27,374917,transfer,mobile_app,MCC3992,399649,0
TXN0000210,CUST00907,2023-04-06,64156,emi_payment,pos,MCC5911,1992167,0
TXN0000211,CUST00597,2023-12-24,347073,debit,internet_banking,MCC9977,855701,0
TXN0000212,CUST00992,2023-12-29,56345,emi_payment,internet_banking,MCC4674,21563,0
TXN0000213,CUST00506,2023-08-21,434428,emi_payment,branch,MCC2932,1905026,0
TXN0000214,CUST00864,2023-03-11,312776,debit,branch,MCC7852,45649,0
TXN0000215,CUST00170,2023-10-15,20322,emi_payment,internet_banking,MCC3654,944599,0
TXN0000216,CUST00321,2023-02-06,54497,debit,pos,MCC5831,1570055,0
TXN0000217,CUST00274,2023-05-02,93791,transfer,internet_banking,MCC3281,740931,0
TXN0000218,CUST00769,2023-08-22,480110,emi_payment,branch,MCC2906,418783,0
TXN0000219,CUST00514,2023-01-25,294773,atm_withdrawal,atm,MCC3267,481010,0
TXN0000220,CUST00223,2023-05-24,139639,transfer,pos,MCC4207,1370333,0
TXN0000221,CUST00173,2023-10-18,138475,transfer,branch,MCC9599,1147547,0
TXN0000222,CUST00385,2023-02-03,12999,atm_withdrawal,branch,MCC7040,1006680,1
TXN0000223,CUST00154,2023-05-14,101675,credit,pos,MCC7260,1028521,0
TXN0000224,CUST00698,2023-01-02,427679,credit,branch,MCC1480,637340,0
TXN0000225,CUST00849,2023-08-29,299462,transfer,internet_banking,MCC1097,1870149,0
TXN0000226,CUST00969,2023-01-29,183856,debit,mobile_app,MCC4079,462680,0
TXN0000227,CUST00236,2023-04-13,10705,debit,internet_banking,MCC8987,1675079,0
TXN0000228,CUST00440,2023-07-10,171548,credit,mobile_app,MCC1144,1553491,0
TXN0000229,CUST00504,2023-03-20,191500,debit,internet_banking,MCC7894,13439,0
TXN0000230,CUST00496,2023-03-26,59398,emi_payment,branch,MCC8386,341963,0
TXN0000231,CUST00454,2023-11-01,303648,transfer,branch,MCC3500,1104558,0
TXN0000232,CUST00221,2023-10-11,330244,transfer,mobile_app,MCC2054,317442,0
TXN0000233,CUST00112,2023-01-30,499096,transfer,branch,MCC2381,1705034,0
TXN0000234,CUST00404,2023-11-09,179460,debit,branch,MCC1694,883865,0
TXN0000235,CUST00093,2023-06-20,138062,transfer,mobile_app,MCC8591,1673676,0
TXN0000236,CUST00064,2023-02-22,411514,debit,internet_banking,MCC8078,238553,0
TXN0000237,CUST00525,2023-11-27,175266,credit,atm,MCC7054,48014,0
TXN0000238,CUST00859,2023-05-04,315346,emi_payment,mobile_app,MCC1805,1283023,0
TXN0000239,CUST00541,2023-04-29,368779,atm_withdrawal,internet_banking,MCC9550,1604141,0
TXN0000240,CUST00024,2023-02-23,439968,credit,branch,MCC7157,1983941,0
TXN0000241,CUST00841,2023-11-20,159406,credit,mobile_app,MCC8451,1575139,0
TXN0000242,CUST00684,2023-04-15,311318,emi_payment,atm,MCC4418,1495826,0
TXN0000243,CUST00304,2023-08-05,65635,atm_withdrawal,atm,MCC2779,115914,0
TXN0000244,CUST00274,2023-03-29,389661,credit,internet_banking,MCC8394,1206469,0
TXN0000245,CUST00900,2023-11-23,22606,atm_withdrawal,internet_banking,MCC1462,1427213,0
TXN0000246,CUST00477,2023-10-15,348299,credit,atm,MCC2645,789276,0
TXN0000247,CUST00142,2023-07-03,104582,emi_payment,internet_banking,MCC2382,1998357,0
TXN0000248,CUST00282,2023-05-07,231349,credit,mobile_app,MCC1759,1975979,0
TXN0000249,CUST00265,2023-08-28,38259,credit,mobile_app,MCC5959,1712115,0
TXN0000250,CUST00401,2023-06-30,344368,atm_withdrawal,mobile_app,MCC3055,1759886,0
TXN0000251,CUST00346,2023-12-10,241123,credit,pos,MCC9694,1136057,0
TXN0000252,CUST00547,2023-09-03,331842,debit,pos,MCC9388,1641181,0
TXN0000253,CUST00324,2023-01-10,173824,emi_payment,branch,MCC2515,142490,0
TXN0000254,CUST00641,2023-10-28,3451,debit,pos,MCC8461,460013,0
TXN0000255,CUST00493,2023-03-12,290529,debit,atm,MCC1351,1327904,0
TXN0000256,CUST00941,2023-04-20,349349,atm_withdrawal,branch,MCC3571,247161,0
TXN0000257,CUST00829,2023-06-09,332421,credit,atm,MCC6938,1625923,0
TXN0000258,CUST00333,2023-03-18,131153,debit,branch,MCC2854,355882,0
TXN0000259,CUST00043,2023-12-10,358309,atm_withdrawal,pos,MCC1701,698419,0
TXN0000260,CUST00585,2023-12-24,270957,credit,pos,MCC2411,517378,0
TXN0000261,CUST00339,2023-02-26,105174,emi_payment,pos,MCC6926,1082455,0
TXN0000262,CUST00902,2023-04-27,55755,credit,branch,MCC2990,163397,0
TXN0000263,CUST00406,2023-05-16,162722,transfer,branch,MCC3213,1624384,0
TXN0000264,CUST00291,2023-09-02,11608,emi_payment,mobile_app,MCC2845,1776844,0
TXN0000265,CUST00340,2023-08-07,358087,emi_payment,atm,MCC8935,1494106,0
TXN0000266,CUST00866,2023-09-05,7658,transfer,mobile_app,MCC8992,370402,0
TXN0000267,CUST00113,2023-01-12,24308,emi_payment,branch,MCC8243,581133,0
TXN0000268,CUST00958,2023-07-07,79181,atm_withdrawal,mobile_app,MCC1179,453219,1
TXN0000269,CUST00234,2023-03-18,163100,atm_withdrawal,branch,MCC3254,1204171,0
TXN0000270,CUST00848,2023-03-25,10044,emi_payment,atm,MCC8920,1776316,0
TXN0000271,CUST00545,2023-10-10,314973,credit,internet_banking,MCC5985,1758431,0
TXN0000272,CUST00570,2023-02-21,66285,transfer,atm,MCC1372,1916286,0
TXN0000273,CUST00205,2023-01-12,401622,atm_withdrawal,internet_banking,MCC3241,1379063,0
TXN0000274,CUST00723,2023-06-27,279630,credit,internet_banking,MCC8440,443562,0
TXN0000275,CUST00649,2023-09-26,41758,emi_payment,mobile_app,MCC8910,796333,0
TXN0000276,CUST00482,2023-07-06,200196,emi_payment,mobile_app,MCC4831,588368,0
TXN0000277,CUST00458,2023-02-28,70213,transfer,internet_banking,MCC2364,127221,0
TXN0000278,CUST00598,2023-10-10,490375,atm_withdrawal,mobile_app,MCC1694,1600205,0
TXN0000279,CUST00472,2023-05-20,296304,transfer,pos,MCC3027,1156158,0
TXN0000280,CUST00975,2023-09-17,404366,atm_withdrawal,atm,MCC8190,1940527,0
TXN0000281,CUST00042,2023-03-15,187259,emi_payment,internet_banking,MCC8438,1682494,0
TXN0000282,CUST00252,2023-11-29,73473,debit,pos,MCC3307,1299352,0
TXN0000283,CUST00851,2023-04-14,117531,atm_withdrawal,internet_banking,MCC9794,87435,0
TXN0000284,CUST00793,2023-12-21,208453,emi_payment,branch,MCC8901,885169,0
TXN0000285,CUST00348,2023-05-18,385288,credit,atm,MCC9886,949784,0
TXN0000286,CUST00507,2023-09-23,215542,emi_payment,atm,MCC7769,1349159,0
TXN0000287,CUST00028,2023-07-03,464323,transfer,mobile_app,MCC6156,1134011,0
TXN0000288,CUST00177,2023-01-28,181122,atm_withdrawal,internet_banking,MCC9834,1560567,0
TXN0000289,CUST00945,2023-02-05,116697,credit,internet_banking,MCC7197,44113,0
TXN0000290,CUST00644,2023-05-28,247845,credit,branch,MCC8486,225311,0
TXN0000291,CUST00039,2023-03-12,55658,debit,pos,MCC4625,1905385,0
TXN0000292,CUST00793,2023-08-11,334970,emi_payment,branch,MCC3168,870596,0
TXN0000293,CUST00404,2023-02-20,50563,atm_withdrawal,branch,MCC6160,1645384,0
TXN0000294,CUST00569,2023-08-04,320480,emi_payment,mobile_app,MCC4682,1714604,0
TXN0000295,CUST00857,2023-03-16,191335,credit,branch,MCC4159,241202,1
TXN0000296,CUST00838,2023-03-08,178613,atm_withdrawal,branch,MCC7268,1410849,0
TXN0000297,CUST00137,2023-05-14,305461,credit,atm,MCC6495,347758,0
TXN0000298,CUST00366,2023-08-01,352552,emi_payment,pos,MCC3844,307548,0
TXN0000299,CUST00273,2023-05-26,464489,transfer,branch,MCC3174,488575,0
TXN0000300,CUST00914,2023-05-08,144813,atm_withdrawal,mobile_app,MCC5917,1510426,0
TXN0000301,CUST00781,2023-05-05,405981,atm_withdrawal,pos,MCC3944,186302,0
TXN0000302,CUST00649,2023-05-04,417750,credit,branch,MCC3138,1334882,0
TXN0000303,CUST00059,2023-05-28,497844,debit,branch,MCC2998,762575,0
TXN0000304,CUST00804,2023-11-01,482189,debit,pos,MCC6965,529297,0
TXN0000305,CUST00561,2023-07-30,395250,emi_payment,branch,MCC4737,479762,0
TXN0000306,CUST00273,2023-06-04,147438,credit,atm,MCC4078,688005,0
TXN0000307,CUST00443,2023-10-01,347316,debit,pos,MCC2036,698202,0
TXN0000308,CUST00447,2023-07-12,392365,atm_withdrawal,branch,MCC1496,628812,0
TXN0000309,CUST00297,2023-12-13,145795,emi_payment,pos,MCC7253,1036436,0
TXN0000310,CUST00910,2023-07-25,406731,debit,mobile_app,MCC9708,1986497,0
TXN0000311,CUST00918,2023-03-20,350982,emi_payment,pos,MCC3922,903053,0
TXN0000312,CUST00051,2023-07-25,245432,emi_payment,pos,MCC8594,367442,0
TXN0000313,CUST00936,2023-10-10,430886,atm_withdrawal,mobile_app,MCC6413,1223279,0
TXN0000314,CUST00404,2023-03-19,43964,atm_withdrawal,mobile_app,MCC3733,1658830,0
TXN0000315,CUST00800,2023-03-15,341977,atm_withdrawal,mobile_app,MCC6100,1199357,1
TXN0000316,CUST00781,2023-08-07,393112,atm_withdrawal,internet_banking,MCC2166,1061270,0
TXN0000317,CUST00599,2023-11-19,20280,emi_payment,pos,MCC4039,1338042,0
